,videoId,publishedAt,title,tags,duration,viewCount,likeCount,commentCount
30,8eLv8gqZSbs,2023-06-01T10:46:31Z,Marvelous Man Utd move vs Man City #shorts,"['Paul Pogba', 'Manchester United', 'Man City', 'Manchester City', 'Man United', 'Man Utd', 'Manchester United move', 'Manchester United goal', 'Manchester United goals', 'Manchester United highlights', 'Man United goals', 'Man United highlights', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'PL']",PT15S,3884102,103421,364
31,gvac4NulHn0,2023-05-31T10:37:22Z,Mourinho cannot believe Ederson double save!,"['Jose Mourinho', 'Mourinho', 'Ederson', 'Manchester United', 'Man City', 'Man City goalkeeper', 'goalkeeper', 'Manchester City', 'saves', 'double save', 'Ederson double save', 'Ederson saves', 'Man City vs Manchester United', 'Manchester United vs Man City', 'reacts', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT10S,3050610,64430,510
32,K-u0gOjKS4g,2023-05-30T15:01:12Z,5 minutes of Steven Gerrard being the ultimate midfielder! | Liverpool | Premier League,"['Steven Gerrard', 'Gerrard', 'Liverpool', 'Liverpool captain', 'captain', 'Stevie G', 'Steven Gerrard Liverpool', 'Gerrard Liverpool', 'Liverpool goals', 'Liverpool highlights', 'goals', 'highlights', 'football', 'soccer', 'assists', 'pass', 'passes', 'long shot', 'long goals', 'long shot goals', 'long range goals', 'Steven Gerrard goals', 'Gerrard goals', 'ultimate midfielder', 'midfielder', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'Steven Gerrard long goals', 'Gerrard long goals']",PT5M1S,201225,5539,550
33,KBcLC07uV04,2023-05-30T13:02:44Z,Great Gerrard assist & Alonso goal vs Arsenal,"['Steven Gerrard', 'Xabi Alonso', 'Liverpool', 'Arsenal', 'Steven Gerrard assist', 'Gerrard assist', 'Xabi Alonso goal', 'Alonso goal', 'Steven Gerrard Xabi Alonso', 'Gerrard Alonso', 'Liverpool goals', 'Liverpool highlights', 'Liverpool vs Arsenal', 'Liverpool Arsenal', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'PL']",PT11S,2865757,47057,151
34,7sUIzfqFc-E,2023-05-30T10:34:19Z,Nketiah capitalises on a Chelsea error!,"['Eddie Nketiah', 'Nketiah', 'Chelsea', 'Arsenal', 'Arsenal goal', 'Arsenal goals', 'Arsenal highlights', 'Eddie Nketiah goal', 'Nketiah goal', 'Chelsea vs Arsenal', 'Chelsea Arsenal', 'Eddie Nketiah Arsenal', 'Eddie Nketiah Chelsea', 'Nketiah Chelsea', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem']",PT14S,386196,10833,37
35,gohjzvXEios,2023-05-27T12:01:00Z,10 of the BEST final day moments | Premier League,"['final day', 'final day moments', 'moments', 'best moments', 'best final day moments', 'Premier League', 'Premier League final day', 'epl', 'PL', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goals', 'highlights', 'Man City', 'Manchester City', 'Sergio Aguero', 'Aguero', 'Carlos Tevez', 'Tevez', 'West Ham', 'Manchester United vs West Ham', 'Man City vs QPR', 'Manchester United', 'QPR', 'final', 'day', 'football', 'soccer', 'relegation', 'champions', 'Premier League champions', 'best Premier League moments', 'last day']",PT14M59S,238212,2703,155
36,y5yOhwJy3E0,2023-05-27T08:01:00Z,Mohamed Salah x Roberto Firmino #shorts,"['Mohamed Salah Roberto Firmino', 'Salah Firmino', 'Liverpool', 'Mohamed Salah', 'Roberto Firmino', 'Mo Salah', 'Salah', 'Firmino', 'Roberto Firmino Liverpool', 'Firmino Liverpool', 'Liverpool goals', 'Liverpool highlights', 'Salah goal', 'Mo Salah goal', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'PL']",PT15S,2701309,37920,114
37,Q6yURydVkT0,2023-05-25T13:16:04Z,Man City become Premier League champions after INCREDIBLE COMEBACK!,"['Man City Premier League champions', 'Manchester City Premier League champions', 'champions', 'Premier League champions', 'Man City', 'Manchester City', 'Man City 3-2 Aston Villa', 'Manchester City 3-2 Aston Villa', 'Ilkay Gündogan', 'Ilkay Gundogan', 'Gundogan', 'Coutinho', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'Man City goals', 'Man City highlights', 'Manchester City goals', 'Manchester City highlights', 'Manchester City vs Aston Villa', 'Aston Villa', 'PL']",PT21M53S,347778,4203,232
38,-Yv7Wz8HyPI,2023-05-24T11:03:51Z,What a ball from Bernardo Silva ❗️ #shorts,"['Man City', 'Manchester City', 'Bernardo Silva', 'Bernardo', 'Silva', 'ball', 'pass', 'long pass', 'best passes', 'Phil Foden', 'Foden', 'Brighton', 'Man City goal', 'Manchester City goal', 'Man City highlights', 'Manchester City highlights', 'Phil Foden goal', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem']",PT15S,4307062,117490,313
39,JnmW-6Iwp7M,2023-05-21T08:01:00Z,De Bruyne escapes Kante & scores STUNNER!,"['Kevin De Bruyne', 'De Bruyne', 'Man City', 'Manchester City', 'Chelsea', ""N'Golo Kante"", 'Kevin De Bruyne goal', 'De Bruyne goal', 'Man City goals', 'Manchester City goals', 'Man City highlights', 'Manchester City highlights', 'Chelsea highlights', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'PL']",PT15S,6455988,182466,428
40,IEETuNoKYN0,2023-05-20T18:42:49Z,Man City’s BEST Premier League Goals Ft. Erling Haaland & Kevin De Bruyne | 2022/23,"['Man City', 'Manchester City', 'Man City goals', 'Manchester City goals', 'best Man City goals', 'best Manchester City goals', 'champions', 'Premier League champions', 'epl champions', '2022/23', 'Man City highlights', 'Manchester City highlights', 'Premier League', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'epl', 'Erling Haaland', 'Kevin De Bruyne', 'Julian Alvarez', 'Phil Foden', 'Riyad Mahrez', 'Jack Grealish', 'Pep Guardiola', 'Haaland', 'De Bruyne', 'Foden', 'Mahrez', 'Grealish', 'Guardiola', 'PL']",PT2M2S,197774,4470,174
41,yJvAzWdEt5A,2023-05-16T15:01:34Z,When the touch is BETTER than the finish | Premier League,"['touch better than the finish', 'how’s your touch', 'hows your touch', 'touch', 'first touch', 'ball control', 'Riyad Mahrez', 'Man City', 'Luis Suarez', 'Liverpool', 'Dennis Bergkamp', 'Arsenal', 'Mahrez', 'Manchester City', 'Suarez', 'Bergkamp', 'football', 'soccer', 'Premier League', 'epl', 'skills', 'football skills', 'soccer skills', 'first touch football', 'first touch soccer', 'best first touch', 'best ball control', 'Riyad Mahrez first touch', 'Mahrez first touch', 'Riyad Mahrez ball control', 'Mahrez ball control', 'goals', 'highlights', 'Prem']",PT6M37S,270435,2227,124
